Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS,Player,Ht
1956-57,24.0,SYR,NBA,G,68,,23.2,2.9,8.3,0.351,2.4,3.5,0.69,3.3,1.6,2.9,8.3,Al Bianchi,6-3
1957-58,25.0,SYR,NBA,G,69,,20.6,3.1,9.1,0.344,2.0,3.0,0.683,3.2,1.7,2.7,8.3,Al Bianchi,6-3
1958-59,26.0,SYR,NBA,G,72,,24.7,4.0,10.5,0.377,2.1,2.9,0.723,2.8,2.2,3.6,10.0,Al Bianchi,6-3
1959-60,27.0,SYR,NBA,G,69,,18.2,3.1,8.3,0.366,1.6,2.2,0.703,2.6,2.4,3.3,7.7,Al Bianchi,6-3
1960-61,28.0,SYR,NBA,G,52,,12.8,2.3,6.6,0.345,1.2,1.7,0.69,2.0,1.8,2.6,5.7,Al Bianchi,6-3
1961-62,29.0,SYR,NBA,G,80,,24.1,4.2,10.6,0.397,1.9,2.8,0.697,3.5,3.3,2.9,10.3,Al Bianchi,6-3
1962-63,30.0,SYR,NBA,G,61,,19.0,3.3,7.8,0.424,2.0,2.7,0.732,2.2,2.8,2.7,8.6,Al Bianchi,6-3
1963-64,31.0,PHI,NBA,G,78,,18.4,3.3,8.8,0.376,1.4,1.8,0.773,1.9,1.9,3.2,8.0,Al Bianchi,6-3
1964-65,32.0,PHI,NBA,G,60,,18.6,2.9,8.1,0.36,0.9,1.3,0.711,1.6,2.3,3.0,6.7,Al Bianchi,6-3
1965-66,33.0,PHI,NBA,G,78,,16.8,2.7,7.2,0.382,0.8,1.3,0.673,1.7,1.7,3.0,6.3,Al Bianchi,6-3
