Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,Player,Ht
1967-68,24.0,TOT,NBA,C-F,55,,11.3,1.2,2.9,.410,1.2,2.0,.611,,,4.2,0.5,,,1.5,3.6,Jim Fox,6-10
1968-69,25.0,TOT,NBA,C-F,76,,31.0,4.2,8.9,.470,2.5,3.5,.715,,,10.8,2.2,,,3.5,10.9,Jim Fox,6-10
1969-70,26.0,PHO,NBA,C-F,81,,25.2,5.1,9.7,.524,2.7,3.5,.770,,,7.0,1.1,,,3.2,12.9,Jim Fox,6-10
1970-71,27.0,CHI,NBA,C-F,82,,19.9,3.4,7.5,.458,2.9,3.9,.745,,,7.3,2.4,,,2.6,9.7,Jim Fox,6-10
1971-72,28.0,TOT,NBA,C-F,81,,26.9,4.4,9.7,.449,2.8,3.7,.764,,,8.8,1.1,,,3.2,11.5,Jim Fox,6-10
1972-73,29.0,SEA,NBA,C-F,74,,33.0,4.3,8.3,.515,2.9,3.6,.808,,,11.2,2.4,,,3.2,11.4,Jim Fox,6-10
1973-74,30.0,SEA,NBA,C-F,78,,27.9,4.1,8.6,.478,3.1,3.8,.823,3.1,6.0,9.2,2.9,0.7,0.3,3.2,11.3,Jim Fox,6-10
1974-75,31.0,SEA,NBA,C-F,75,,23.5,3.4,7.2,.469,2.3,2.8,.802,1.7,4.8,6.5,1.8,0.6,0.2,2.2,9.0,Jim Fox,6-10
1975-76,32.0,MIL,NBA,C-F,70,,13.1,1.5,2.9,.517,0.9,1.1,.785,1.2,2.2,3.4,0.6,0.4,0.2,1.8,3.9,Jim Fox,6-10
1976-77,33.0,NYN,NBA,C-F,71,,16.4,2.6,5.6,.462,1.3,1.6,.833,1.4,3.2,4.6,0.7,0.3,0.4,2.2,6.5,Jim Fox,6-10
