Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,29.0,INJ,BAA,,56.0,,,1.7,5.4,0.321,1.3,2.1,0.652,,1.4,2.7,4.8
1949-50,30.0,TOT,NBA,,25.0,,,0.9,3.0,0.293,0.9,1.3,0.688,,0.3,2.2,2.6
1949-50,30.0,WSC,NBA,,22.0,,,1.0,3.0,0.323,0.9,1.4,0.667,,0.3,2.1,2.8
1949-50,30.0,BLB,NBA,,3.0,,,0.3,3.3,0.1,0.7,0.7,1.0,,0.3,2.3,1.3
Career,,,TOT,,81.0,,,1.5,4.7,0.316,1.2,1.8,0.66,,1.1,2.5,4.1
,,,BAA,,56.0,,,1.7,5.4,0.321,1.3,2.1,0.652,,1.4,2.7,4.8
,,,NBA,,25.0,,,0.9,3.0,0.293,0.9,1.3,0.688,,0.3,2.2,2.6
,,,,,,,,,,,,,,,,,
1 season,,INJ,BAA,,56.0,,,1.7,5.4,0.321,1.3,2.1,0.652,,1.4,2.7,4.8
1 season,,WSC,NBA,,22.0,,,1.0,3.0,0.323,0.9,1.4,0.667,,0.3,2.1,2.8
1 season,,BLB,NBA,,3.0,,,0.3,3.3,0.1,0.7,0.7,1.0,,0.3,2.3,1.3
