Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1970-71,22.0,LAL,NBA,SF,81,,21.6,3.6,7.8,.459,1.2,1.6,.769,,,4.1,1.6,,,,1.5,8.4
1971-72,23.0,LAL,NBA,SF,80,,38.1,8.0,16.6,.482,2.7,3.5,.791,,,6.5,2.6,,,,2.6,18.8
1972-73,24.0,LAL,NBA,SF,81,,36.5,8.1,17.7,.458,2.8,3.3,.845,,,5.5,2.7,,,,2.2,18.9
1973-74,25.0,BUF,NBA,SF,82,,40.5,7.3,14.8,.494,4.0,4.6,.858,2.6,4.8,7.4,3.1,1.6,0.3,,2.3,18.6
1974-75,26.0,BUF,NBA,SF,62,,34.4,5.6,11.2,.499,3.1,3.7,.840,2.0,4.2,6.2,2.5,1.1,0.2,,2.1,14.3
1975-76,27.0,BUF,NBA,SF,74,,35.3,6.6,12.4,.536,2.5,3.0,.858,1.8,3.5,5.3,2.8,1.2,0.2,,1.9,15.8
1976-77,28.0,NYK,NBA,SF,67,,32.2,4.4,9.6,.464,1.0,1.3,.779,1.0,3.6,4.6,2.1,0.9,0.1,,1.5,9.9
1977-78,29.0,NYK,NBA,SF,81,,24.4,3.6,7.7,.462,1.4,1.7,.858,1.0,2.6,3.6,2.5,0.9,0.2,1.3,1.4,8.5
1978-79,30.0,POR,NBA,SF,23,,12.1,1.4,3.2,.446,0.7,0.9,.810,0.7,1.0,1.7,1.4,0.4,0.1,0.7,0.8,3.6
1979-80,31.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
1980-81,32.0,Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy),Did Not Play (other pro league—Italy)
Career,,,NBA,,631,,32.1,5.8,12.0,.482,2.3,2.8,.832,1.6,3.6,5.3,2.5,1.1,0.2,1.2,1.9,13.8
,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,LAL,NBA,,242,,32.0,6.6,14.0,.468,2.2,2.8,.808,,,5.4,2.3,,,,2.1,15.3
3 seasons,,BUF,NBA,,218,,37.0,6.6,13.0,.509,3.2,3.8,.853,2.2,4.2,6.4,2.8,1.3,0.3,,2.1,16.4
2 seasons,,NYK,NBA,,148,,27.9,4.0,8.5,.463,1.2,1.5,.827,1.0,3.0,4.0,2.3,0.9,0.1,1.3,1.5,9.1
1 season,,POR,NBA,,23,,12.1,1.4,3.2,.446,0.7,0.9,.810,0.7,1.0,1.7,1.4,0.4,0.1,0.7,0.8,3.6
