Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1966-67,23.0,NYK,NBA,C,13.0,,5.8,1.5,3.9,0.373,,,,1.5,3.9,0.373,0.373,0.5,1.0,0.538,,,1.7,0.2,,0.7,3.5
1967-68,24.0,TOT,ABA,C,46.0,,11.6,2.1,4.9,0.427,0.0,0.1,0.667,2.0,4.8,0.423,0.431,0.9,1.3,0.672,,,3.7,0.8,0.6,1.1,5.1
1967-68,24.0,OAK,ABA,C,5.0,,9.2,1.0,2.6,0.385,0.0,0.0,,1.0,2.6,0.385,0.385,0.8,0.8,1.0,,,2.0,0.6,0.6,0.6,2.8
1967-68,24.0,HSM,ABA,C,41.0,,11.9,2.2,5.2,0.429,0.0,0.1,0.667,2.2,5.1,0.426,0.434,0.9,1.4,0.649,,,3.9,0.9,0.6,1.1,5.4
Career,,,TOT,,59.0,,10.3,1.9,4.7,0.417,0.0,0.1,0.667,1.9,4.6,0.414,0.42,0.8,1.3,0.649,,,3.3,0.7,0.6,1.0,4.7
,,,ABA,,46.0,,11.6,2.1,4.9,0.427,0.0,0.1,0.667,2.0,4.8,0.423,0.431,0.9,1.3,0.672,,,3.7,0.8,0.6,1.1,5.1
,,,NBA,,13.0,,5.8,1.5,3.9,0.373,,,,1.5,3.9,0.373,0.373,0.5,1.0,0.538,,,1.7,0.2,,0.7,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,,HSM,ABA,,41.0,,11.9,2.2,5.2,0.429,0.0,0.1,0.667,2.2,5.1,0.426,0.434,0.9,1.4,0.649,,,3.9,0.9,0.6,1.1,5.4
1 season,,NYK,NBA,,13.0,,5.8,1.5,3.9,0.373,,,,1.5,3.9,0.373,0.373,0.5,1.0,0.538,,,1.7,0.2,,0.7,3.5
1 season,,OAK,ABA,,5.0,,9.2,1.0,2.6,0.385,0.0,0.0,,1.0,2.6,0.385,0.385,0.8,0.8,1.0,,,2.0,0.6,0.6,0.6,2.8
