Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1967-68,24.0,SEA,NBA,PF,81.0,,29.2,5.4,12.2,0.442,,,,5.4,12.2,0.442,0.442,2.3,3.2,0.707,,,7.5,1.4,,,3.2,13.1
1968-69,25.0,TOT,NBA,PF,84.0,,22.4,4.3,9.6,0.446,,,,4.3,9.6,0.446,0.446,1.9,2.9,0.648,,,5.2,0.9,,,2.2,10.5
1968-69,25.0,SEA,NBA,PF,56.0,,22.5,4.2,9.7,0.432,,,,4.2,9.7,0.432,0.432,1.9,3.1,0.637,,,5.7,1.0,,,2.0,10.3
1968-69,25.0,CIN,NBA,PF,28.0,,22.4,4.5,9.5,0.475,,,,4.5,9.5,0.475,0.475,1.8,2.6,0.671,,,4.4,0.7,,,2.7,10.8
1969-70,26.0,TOT,NBA,PF,61.0,,13.4,2.4,4.7,0.512,,,,2.4,4.7,0.512,0.512,1.1,1.4,0.805,,,2.7,0.6,,,1.4,5.9
1969-70,26.0,CHI,NBA,PF,33.0,,16.9,2.9,5.7,0.513,,,,2.9,5.7,0.513,0.513,1.1,1.4,0.822,,,3.4,0.9,,,1.6,7.0
1969-70,26.0,BAL,NBA,PF,28.0,,9.4,1.8,3.4,0.51,,,,1.8,3.4,0.51,0.51,1.2,1.5,0.786,,,1.9,0.3,,,1.2,4.7
1970-71,27.0,TOT,TOT,PF,45.0,,13.5,2.6,5.9,0.447,0.1,0.2,0.429,2.6,5.7,0.447,0.453,1.3,1.6,0.808,0.4,,3.1,0.4,,0.6,1.6,6.6
1970-71,27.0,BAL,NBA,PF,31.0,,8.9,1.7,3.7,0.452,,,,1.7,3.7,0.452,0.452,0.8,1.0,0.806,,,2.4,0.2,,,1.1,4.2
1970-71,27.0,FLO,ABA,PF,14.0,,23.6,4.7,10.6,0.443,0.2,0.5,0.429,4.5,10.1,0.444,0.453,2.4,3.0,0.81,1.4,3.3,4.6,0.9,,1.8,2.9,12.1
1971-72,28.0,FLO,ABA,PF,81.0,,22.2,4.7,10.0,0.465,0.4,1.0,0.366,4.3,9.0,0.477,0.484,1.9,2.5,0.789,1.1,3.7,4.8,1.2,,1.6,2.5,11.6
Career,,,TOT,,352.0,,21.2,4.1,9.0,0.456,0.3,0.9,0.371,4.0,8.7,0.458,0.461,1.8,2.5,0.727,1.2,3.7,4.9,1.0,,1.6,2.3,10.1
,,,NBA,,257.0,,20.8,3.9,8.6,0.453,,,,3.9,8.6,0.453,0.453,1.7,2.4,0.702,,,5.0,0.9,,,2.2,9.5
,,,ABA,,95.0,,22.4,4.7,10.1,0.462,0.3,0.9,0.371,4.3,9.2,0.471,0.479,2.0,2.5,0.793,1.2,3.7,4.8,1.2,,1.6,2.6,11.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 seasons,,SEA,NBA,,137.0,,26.5,4.9,11.2,0.438,,,,4.9,11.2,0.438,0.438,2.2,3.2,0.68,,,6.7,1.2,,,2.7,12.0
2 seasons,,FLO,ABA,,95.0,,22.4,4.7,10.1,0.462,0.3,0.9,0.371,4.3,9.2,0.471,0.479,2.0,2.5,0.793,1.2,3.7,4.8,1.2,,1.6,2.6,11.7
2 seasons,,BAL,NBA,,59.0,,9.1,1.7,3.6,0.479,,,,1.7,3.6,0.479,0.479,1.0,1.2,0.795,,,2.1,0.2,,,1.1,4.4
1 season,,CHI,NBA,,33.0,,16.9,2.9,5.7,0.513,,,,2.9,5.7,0.513,0.513,1.1,1.4,0.822,,,3.4,0.9,,,1.6,7.0
1 season,,CIN,NBA,,28.0,,22.4,4.5,9.5,0.475,,,,4.5,9.5,0.475,0.475,1.8,2.6,0.671,,,4.4,0.7,,,2.7,10.8
